,t1,trgt,pt,sl
2010-07-02 15:54:17,2010-07-06 10:02:21,0.010523163451073007,1,1
2010-07-02 15:59:20,2010-07-06 09:31:49,0.010441570420269122,1,1
2010-07-06 09:31:49,2010-07-06 14:22:00,0.010849723049894794,1,1
2010-07-06 09:34:13,2010-07-06 15:06:40,0.011160753252442396,1,1
2010-07-06 09:48:23,2010-07-06 14:22:00,0.011479470567464711,1,1
2010-07-06 09:57:54,2010-07-06 14:22:00,0.011828448996127812,1,1
2010-07-06 10:00:00,2010-07-06 14:22:00,0.012135970002295333,1,1
2010-07-06 10:02:21,2010-07-06 14:22:00,0.012465596839225336,1,1
2010-07-06 10:19:55,2010-07-06 13:53:45,0.012887164024174646,1,1
2010-07-06 10:34:12,2010-07-06 13:53:45,0.013191912090461047,1,1
2010-07-06 10:55:23,2010-07-06 14:22:00,0.013460680291382076,1,1
2010-07-06 11:11:19,2010-07-06 14:22:00,0.013646445867306957,1,1
2010-07-06 11:16:26,2010-07-06 14:22:00,0.01383191964879537,1,1
2010-07-06 12:26:51,2010-07-06 15:06:40,0.014072499107349833,1,1
2010-07-06 13:23:44,2010-07-07 10:59:50,0.014037975706146174,1,1
2010-07-06 13:53:45,2010-07-07 10:45:59,0.013938914827024109,1,1
2010-07-06 14:22:00,2010-07-07 10:02:30,0.013816310421216057,1,1
2010-07-06 14:41:35,2010-07-07 10:45:59,0.013726053107986226,1,1
2010-07-06 14:49:15,2010-07-07 10:45:59,0.013614806404218888,1,1
2010-07-06 14:50:58,2010-07-07 10:45:59,0.013284739703698499,1,1
2010-07-06 14:51:35,2010-07-07 10:45:59,0.013180062855723363,1,1
2010-07-06 15:06:40,2010-07-07 10:02:30,0.01273955805956422,1,1
2010-07-06 15:19:16,2010-07-07 10:02:30,0.012615713171138918,1,1
2010-07-06 15:32:36,2010-07-07 10:02:30,0.012499923593351685,1,1
2010-07-06 15:40:09,2010-07-07 10:02:30,0.012381076317127248,1,1
2010-07-06 15:46:07,2010-07-07 10:45:59,0.012307379964345942,1,1
2010-07-06 15:59:16,2010-07-07 10:45:59,0.012235310884421266,1,1
2010-07-07 09:31:23,2010-07-07 10:59:50,0.012211407345513084,1,1
2010-07-07 10:02:30,2010-07-07 14:19:02,0.012093378183144349,1,1
2010-07-07 10:24:52,2010-07-07 14:19:02,0.011973517135039833,1,1
2010-07-07 10:45:59,2010-07-07 15:22:44,0.011875419788184181,1,1
2010-07-07 10:59:50,2010-07-07 15:37:54,0.011812479520104476,1,1
2010-07-07 11:34:38,2010-07-07 15:37:54,0.011756685965288134,1,1
2010-07-07 12:17:48,2010-07-07 15:22:44,0.011681154072697972,1,1
